AU1,AU2,AU4,AU6,AU7,AU9,AU12,AU15,AU16,AU20,AU23,AU26,Left,Lower,Right,Upper,class
0,0,0,0,0,0,1.68,0,0,0,1.5,0,0.18,1.68,1.5,0,Positive
0,0,0,0.78,0,1.18,0.62,0,0,0,0,0,1.97,1.53,0.35,0.78,Positive
0,0,0,0,0,2.38,0,0,0,0,0,0,0,2.55,2.55,0,Positive
0,0,0.2,0.4,0,0.77,0,0,0,0,0,0,0.6,0.87,1.17,0.7,Positive
0,0,0,0,0,1.09,0.67,0,0,0,0,0,0.42,2.3,1.89,0,Positive
0,0,0,0.9,0,1.31,0.3,0,0,0,0,0,0.13,1.45,1.31,0,Positive
0.28,0,0.28,0,0,0,0.53,0.4,1.06,0.4,1.15,0.4,0.52,1.59,1.35,0.28,Positive
0,0,0,0.21,1.74,1.27,1.27,0,0,0,0,0,2.23,1.39,1.11,1.95,Positive
0,0,0,0,0,0.14,0.8,0.29,0.55,0.15,1.22,0.29,1.21,1.35,0.3,0,Positive
0,0,0,0,0,0,2.12,0,0,0,2.12,0,2.3,2.3,0,0,Positive
0,0,0.95,0,0,0.62,0.12,0,0,0,0,0,1.77,0.97,0.15,0.95,Positive
0,0,0.37,0,0,0.37,0.81,0,0.32,0,0.78,0,1.57,1.49,0.71,0.78,Neutral
0.58,0,0.27,0.35,0,0.15,0.55,0,0,0,0.4,0,1.35,0.55,1.06,1.86,Neutral
0,0,0,0.15,0,2.41,2.41,0,0,0,0,0,0,2.56,2.56,0,Neutral
0,0,0.33,0,0,2.16,0,0,0,0,0,0,2.49,2.16,0.17,0.5,Neutral
0,0,0,0,0,2.35,0,0,0,0,0,0,0,2.7,2.7,0,Neutral
0.15,0,0.15,0.23,0,2.03,0,0,0,0,0,0,0.15,2.03,2.27,0.39,Neutral
0,0,0,0,0,0.47,0,0,0,0,0,0,0.47,1.49,1.99,0.97,Neutral
0.51,0,0.51,0,0,0.77,0,0.37,0.45,0,0,0.37,0,1.22,2.23,1.01,Neutral
0,0,0.28,0,0.28,0.33,1.15,0,0,0,1.15,0,0.62,1.48,1.8,0.93,Neutral
0.3,0,0.3,0,0.1,2.4,0.0,0,0,0,0,0,0,2.4,2.8,0.4,Neutral
0.27,0,0.19,0.18,0.07,0.41,0.6,0,0,0,0.19,0,0.6,0.6,0.97,0.71,Neutral
0.2,0,0,0,0.51,1.26,1.26,0,0,0,0,0,3.44,2.93,1.46,0.71,Neutral
0,0,0,0,0,0.4,0.69,0.25,0.18,0,0.41,0.18,0.76,0.94,0.18,0,Neutral
1.17,0,0.39,0,0.32,1.19,0.71,0,0,0,0,0,2.26,1.19,0.76,1.82,Neutral
2.43,0,0,0.29,0,0,0,0,0,0,0,0,2.43,0,0.29,2.72,Neutral
0,0,0,0,0,0.18,0.18,1.57,1.57,0.15,1.57,0.15,0.33,1.9,1.9,0.33,Negative
0,0,0,0,0,1.32,1.4,0,0,0,0,0,1.4,1.4,0,0,Negative
0.22,0,0,0.37,0.22,1.7,1.7,0,0,0,0,0,0.22,1.7,2.06,0.58,Negative
0,0,0.42,0.87,0,0,0,0,0,0,0,0,2.22,0,0.87,3.09,Negative
0,0,0,0,0,0,2.75,0,0,0,0,0,0,3.28,3.28,0,Negative
0.9,0,0.98,0,0,0.15,0,0,0,0,0,0,1.57,0.15,1.45,1.88,Negative
0,0,0,0,0.07,0.82,0.55,0,0,0,0,0,0,1.57,1.63,0.07,Negative
0.57,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.07,2.07,Negative
0,0,0,0,0,0.33,0.98,0,0,0,0,0,0,1.45,2.13,0.68,Negative
0,0,0,0.2,0,2.06,0.97,0,0,0,0,0,2.21,1.87,0,0.35,Negative
0,0,0,0.94,0,0.15,0,0,0,0,0,0,1.95,0.15,0.3,2.1,Negative
0,0,0,1.35,0,0.67,0,0,0,0,0,0,1.98,0.67,0.31,1.63,Negative
0,0,0,0.61,0,1.08,0.57,0,0.11,0,0.11,0,1.35,1.76,0.91,0.5,Negative
0,0,0,0,0.29,0.36,0.19,0,0,0,0,0,2.62,0.55,0.09,2.17,Negative
0,0,0,0.12,0,0.12,0.11,0,0,0,0.11,0,0.22,0.11,0,0.12,Negative
0,0,0,0,0,2.17,0.82,0,0,0,0,0,2.17,2.17,1.35,0,Negative
2.06,0,0.18,0,0,0,0,0,0,0,0,0,2.24,0,0,2.24,Negative
0,0,0,0,0,0.35,2.46,0,0.38,0,2.5,0,0,2.85,2.85,0,Negative
0,0,0,1.8,0,1.8,0,0,0,0,0,0.18,0.43,0,1.98,2.41,Negative
0,0,0,0,0,0.72,0.37,0,0,0,0,0,0.35,1.33,2.82,1.84,Negative
0.53,0,0,0,0.23,0,0,0.08,0.18,0.27,0,0.27,0,0.27,2.04,1.77,Negative
0,0,0,0,0.42,1.08,2.22,0,0,0,0.15,0,0.15,2.22,2.48,0.42,Negative
0,0,0.06,0.06,0,3.03,0,0,0,0,0,0,0.06,3.03,0,0.06,Negative
0,0,0,0.48,0,3.08,0,0,0,0,0,0,2.14,0.7,1.02,2.47,Negative
0.33,0,0,0.42,0.24,0.88,0,0,0,0,0,0,0.12,0.49,2.71,2.34,Negative
0.68,0,0,0,0.07,0.23,1.08,0,0.16,0,0.89,0,0,1.08,2.11,1.02,Negative
0,0,0,0,0,0.62,2.05,0,0.08,0,0.71,0,0,2.05,1.95,0,Negative
0,0,3.09,0,2.91,0,0,0,0,0,0,0,2.91,0,0.18,3.09,Negative
0,0,0.3,0.3,0,1.01,2.05,0,0,0,1.2,0,0.43,2.34,2.21,0.3,Negative
0,0,0.06,0.33,0,0.18,0.45,0,0,0,0.28,0,0.6,0.45,2.13,2.28,Negative
0,0,0,0,0,1.85,1.08,0,0,0,0,0,0,2.93,2.93,0,Negative
0,0,0,0,0,3.56,0.27,0,0,0,0,0,3.83,0.27,0,3.56,Negative
0.17,0,0.36,0.19,0.27,0.92,0.39,0,0,0,0,0,2.08,0.39,1.57,3.26,Negative
0,0,0,0,0,0.37,1.22,0.21,0.46,0.21,0.71,0.21,0.6,1.77,1.17,0,Negative
0,0,0,0,0,0,2.95,0,0,0,2.95,0,2.95,2.95,0,0,Negative
0,0,0,1.18,0,0.42,1.68,0,0,0,1.68,0,1.18,1.68,1.68,1.18,Negative
0,0,0,0.12,0,2.22,0,0,0,0,0,0,0,0,2.1,2.22,Negative
0,0,0.68,0.58,0.68,0.32,0.32,0,0,0,0,0,0.57,0.32,1.85,2.28,Negative
0,0,0,0,0.43,1.77,1.63,0,0,0,0,0,0.13,1.77,2.4,0.77,Negative
0.36,0,0,0,2.55,0.76,0.14,0,0,0,0,0,1.97,0.47,1.69,3.19,Negative
0,0,0.77,0.37,0,0.32,1.87,0,0,0,0.4,0,0.77,2.18,1.78,0.77,Positive
0,0,0,0,0,0,0,0.13,0,0.13,0,0.13,0.13,0.13,2.72,0.29,Positive
0,0,0,0.52,0,2.6,0,0,0,0,0,0,0.63,2.6,2.48,0.52,Positive
0.5,0,0.63,0,0.15,0.28,0.72,0,0,0,0,0,0.11,1.0,1.63,1.13,Positive
0,0,0,0.28,0.37,1.25,1.27,0,0,0,0,0,0.57,1.27,2.17,1.47,Positive
0,0,0,0,0,1.87,1.23,0,0,0,1.23,0,3.1,3.1,0,0,Positive
0,0,0,0.12,0,0.77,1.4,0.08,0.88,0.08,1.18,0.34,0.86,2.03,1.68,0.56,Positive
0,0,0,3.31,0,3.31,0,0,0,0,0,0,3.94,0.65,0,3.31,Positive
